ID,NAME,ADDRESS,WARD_NAME,Longitude,Latitude
21,FIRE STATION 211,900 TAPSCOTT RD,Scarborough North (23),-79.24287004,43.82399273
60,FIRE STATION 342,106 ASCOT AVE,Davenport (9),-79.44862626,43.67936613
61,FIRE STATION 343,65 HENDRICK AVE,Toronto-St. Paul's (12),-79.43075216,43.68010515
55,FIRE STATION 332,260 ADELAIDE ST W,Spadina-Fort York (10),-79.38956419,43.64830653
24,FIRE STATION 214,745 MEADOWVALE RD,Scarborough-Rouge Park (25),-79.1636016,43.79421077
74,FIRE STATION 426,140 LANSDOWNE AVE,Parkdale-High Park (4),-79.43886671,43.64508644
70,FIRE STATION 422,590 JANE ST,Parkdale-High Park (4),-79.49094117,43.66440219
34,FIRE STATION 232,1550 MIDLAND AVE,Scarborough Centre (21),-79.26685107,43.75496695
7,FIRE STATION 121,10 WILLIAM CARSON CRES,Don Valley West (15),-79.40678075,43.74854008
66,FIRE STATION 412,267 HUMBERLINE DR,Etobicoke North (1),-79.61763781,43.73810829
14,FIRE STATION 134,16 MONTGOMERY AVE,Eglinton-Lawrence (8),-79.3997683,43.70965676
46,FIRE STATION 314,12 GROSVENOR ST,Toronto Centre (13),-79.38466177,43.66305742
54,FIRE STATION 331,33 CLAREMONT ST,Spadina-Fort York (10),-79.40977375,43.64733612
5,FIRE STATION 115,115 PARKWAY FOREST DR,Don Valley North (17),-79.34068607,43.77440355
12,FIRE STATION 132,476 LAWRENCE AVE W,Eglinton-Lawrence (8),-79.42857187,43.71979814
77,FIRE STATION 433,615 ROYAL YORK RD,Etobicoke-Lakeshore (3),-79.50293817,43.62801854
80,FIRE STATION 441,947 MARTIN GROVE RD,Etobicoke North (1),-79.57191965,43.69496047
59,FIRE STATION 341,555 OAKWOOD AVE,Toronto-St. Paul's (12),-79.44114059,43.6945203
78,FIRE STATION 434,3 LUNNESS RD,Etobicoke-Lakeshore (3),-79.54398894,43.60257034
43,FIRE STATION 311,20 BALMORAL AVE,Toronto-St. Paul's (12),-79.39397584,43.68595081
50,FIRE STATION 323,153 CHATHAM AVE,Toronto-Danforth (14),-79.33466212,43.67954289
36,FIRE STATION 234,40 CORONATION DR,Scarborough-Guildwood (24),-79.19152203,43.76106817
79,FIRE STATION 435,130 EIGHTH ST,Etobicoke-Lakeshore (3),-79.50696999,43.60111852
72,FIRE STATION 424,462 RUNNYMEDE RD,Parkdale-High Park (4),-79.4796294,43.65835456
26,FIRE STATION 221,2575 EGLINTON AVE E,Scarborough Southwest (20),-79.2550627,43.73479014
29,FIRE STATION 224,1313 WOODBINE AVE,Beaches-East York (19),-79.31659701,43.69518746
41,FIRE STATION 244,2340 BIRCHMOUNT RD,Scarborough-Agincourt (22),-79.29911532,43.7816825
31,FIRE STATION 226,87 MAIN ST,Beaches-East York (19),-79.29906527,43.68192334
9,FIRE STATION 123,143 BOND AVE,Don Valley East (16),-79.34672603,43.74581401
11,FIRE STATION 131,3135 YONGE ST,Don Valley West (15),-79.40215728,43.72621701
28,FIRE STATION 223,116 DORSET RD,Scarborough Southwest (20),-79.23326108,43.72395676
33,FIRE STATION 231,740 MARKHAM RD,Scarborough-Guildwood (24),-79.22778766,43.76464401
44,FIRE STATION 312,34 YORKVILLE AVE,University-Rosedale (11),-79.38892038,43.67187486
40,FIRE STATION 243,4560 SHEPPARD AVE E,Scarborough North (23),-79.26296021,43.78913692
83,FIRE STATION 444,666 RENFORTH DR,Etobicoke Centre (2),-79.58269599,43.65746674
25,FIRE STATION 215,5318 LAWRENCE AVE E,Scarborough-Rouge Park (25),-79.14806589,43.77739194
71,FIRE STATION 423,358 KEELE ST,Parkdale-High Park (4),-79.46475396,43.66474178
22,FIRE STATION 212,8500 SHEPPARD AVE E,Scarborough-Rouge Park (25),-79.18862001,43.80493224
32,FIRE STATION 227,1904 QUEEN ST E,Beaches-East York (19),-79.3050382,43.66916301
27,FIRE STATION 222,755 WARDEN AVE,Scarborough Southwest (20),-79.28409063,43.72039943
49,FIRE STATION 322,256 COSBURN AVE,Toronto-Danforth (14),-79.34234372,43.69098616
23,FIRE STATION 213,7 LAPSLEY RD,Scarborough North (23),-79.22596191,43.79540661
48,FIRE STATION 321,231 MCRAE DR,Don Valley West (15),-79.3648514,43.70870986
84,FIRE STATION 445,280 BURNHAMTHORPE RD,Etobicoke Centre (2),-79.54510308,43.64934818
67,FIRE STATION 413,1549 ALBION RD,Etobicoke North (1),-79.58690585,43.74021871
6,FIRE STATION 116,255 ESTHER SHINER BLVD,Don Valley North (17),-79.36506366,43.76914594
76,FIRE STATION 432,155 THE EAST MALL,Etobicoke-Lakeshore (3),-79.5493537,43.62334101
30,FIRE STATION 225,3600 DANFORTH AVE,Scarborough Southwest (20),-79.2684946,43.69591687
