Area_Short_Code,Population,Population_Density_Per_Sqkm,Land_Area_In_Sqkm,Average_Household_Size,Percentage_Person_Living_Alone,Percentage_Person_Living_Alone_Age_65+,Percentage_Person_Living_Alone_Age_20_34,Average_Household_Income,Percentage_Low_Income_Base_On_Cutoffs,Percentage_No_Certificate_Diploma,Percentage_University_Diploma_Or_Above,Average_Personal_Income,Dwellings_Occupied_By_Usual_Residents
129,29113,3929,7.41,3.16,0.05,0.14,0.02,427037,17.5,0.26,0.23,30414,9120
128,23757,3034,7.83,2.88,0.08,0.14,0.07,278390,18.7,0.2,0.28,31825,8136
20,12054,2435,4.95,2.6,0.11,0.22,0.05,168602,7.1,0.2,0.22,47709,4616
95,30526,10863,2.81,1.8,0.3,0.36,0.29,792507,18.9,0.06,0.63,112766,15934
42,27695,2775,9.98,2.23,0.19,0.31,0.12,493486,11.2,0.1,0.46,67757,12124
34,15873,3377,4.7,2.56,0.13,0.3,0.06,251583,14.2,0.13,0.38,45936,6089
76,25797,14097,1.83,1.7,0.32,0.44,0.29,352218,36.1,0.03,0.63,56526,15074
52,21396,4195,5.1,2.22,0.17,0.22,0.19,354894,20.4,0.07,0.52,52035,9532
49,13154,3240,4.06,2.7,0.09,0.19,0.04,253036,15.4,0.12,0.46,47246,4698
39,23236,4209,5.52,2.68,0.13,0.31,0.06,720203,8.3,0.11,0.52,123077,8607
112,6577,3614,1.82,2.4,0.17,0.3,0.09,109880,21.9,0.31,0.12,33829,2650
127,29960,4011,7.47,2.7,0.11,0.21,0.1,326482,19.4,0.19,0.26,33256,10766
122,22291,3765,5.92,2.36,0.16,0.29,0.08,369161,12.9,0.16,0.28,54360,9198
24,21737,6282,3.46,2.94,0.1,0.26,0.04,261560,25.9,0.38,0.09,25989,7324
69,7727,8134,0.95,2.46,0.15,0.34,0.1,154132,21.1,0.19,0.39,48511,3125
108,14257,7791,1.83,2.48,0.14,0.27,0.09,190243,14.8,0.21,0.28,34768,5737
41,9266,1040,8.91,2.83,0.08,0.18,0.03,1392010,8.4,0.08,0.62,308010,3241
57,11499,6764,1.7,2,0.25,0.36,0.18,126349,18.5,0.17,0.36,44557,5663
30,17757,5045,3.52,2.73,0.11,0.23,0.06,176688,19.3,0.3,0.13,32483,6482
71,11669,8335,1.4,1.71,0.33,0.47,0.23,301145,20.2,0.08,0.5,63012,6442
109,9955,6464,1.54,2.69,0.1,0.21,0.07,132879,12.1,0.35,0.14,35112,3680
96,10968,5683,1.93,2,0.24,0.32,0.22,545338,11.7,0.05,0.61,165047,5406
133,13362,2479,5.39,3.05,0.05,0.11,0.02,215135,5.3,0.12,0.36,54045,4379
75,31340,23044,1.36,1.54,0.39,0.5,0.33,443734,25.8,0.04,0.58,53583,19680
120,26984,3632,7.43,2.84,0.09,0.2,0.05,350777,16.2,0.19,0.26,36232,9246
33,16472,3979,4.14,2.51,0.15,0.3,0.12,168893,12.8,0.13,0.39,51181,6554
123,15935,2273,7.01,2.68,0.11,0.29,0.04,248846,14.3,0.16,0.27,44718,5902
92,14133,7478,1.89,2.56,0.11,0.18,0.08,304000,13.2,0.28,0.27,41717,5489
66,9666,8554,1.13,2.44,0.15,0.35,0.09,260052,13.5,0.18,0.41,55225,3925
59,17180,7881,2.18,2.43,0.14,0.29,0.08,334260,11.2,0.18,0.37,51846,7022
47,27051,6441,4.2,2.69,0.09,0.2,0.06,414411,19.7,0.11,0.42,37379,9968
126,25003,4146,6.03,2.78,0.11,0.22,0.06,251476,17,0.2,0.25,31692,8777
93,36625,9819,3.73,2.37,0.15,0.2,0.12,594477,17,0.22,0.34,39740,15320
26,35052,2337,15,2.67,0.12,0.23,0.06,562794,15.9,0.29,0.15,34168,13121
83,11785,8540,1.38,2.15,0.19,0.26,0.16,128586,18.1,0.21,0.38,40588,5436
62,21381,8038,2.66,2.29,0.18,0.41,0.11,304010,16.6,0.13,0.4,54324,9180
9,15535,2840,5.47,2.43,0.14,0.26,0.09,441052,8.2,0.13,0.4,101551,6254
138,22776,7051,3.23,2.81,0.1,0.22,0.04,343031,20.4,0.22,0.2,30033,7912
5,9456,3306,2.86,2.93,0.08,0.19,0.03,123119,17.9,0.24,0.15,32012,3219
32,22372,6466,3.46,2.65,0.17,0.42,0.07,293189,17.8,0.16,0.34,48134,8247
11,18588,2171,8.56,2.7,0.09,0.22,0.02,352269,7.5,0.15,0.31,47002,6863
13,11848,6582,1.8,2.5,0.13,0.28,0.08,132460,14.7,0.18,0.28,38255,4583
44,21933,9026,2.43,2.8,0.11,0.29,0.05,261233,27.2,0.22,0.28,28654,7830
102,12806,8054,1.59,2.33,0.18,0.36,0.13,258469,13.3,0.08,0.5,85099,5446
101,10732,4380,2.45,2.14,0.22,0.34,0.2,784645,9.8,0.07,0.6,204521,4951
25,30491,5864,5.2,3.04,0.08,0.22,0.03,410012,20.9,0.39,0.09,27984,9917
65,14417,8582,1.68,2.37,0.16,0.33,0.1,216423,17.6,0.16,0.38,46206,6053
